"ADDRESSID","STREET","CITY","POSTALCODE","BUILDING","COUNTRY","REGION","ADDRESSTYPE","VALIDITY_STARTDATE","VALIDITY_ENDDATE","LATITUDE","LONGITUDE"
"1000000034","Settlers Lane","West Nyack","10994","5027","US","AMER","2","2000-01-01","9999-12-31",41.100057,-73.973562
"1000000035","Woodland Terrace","Fair Oaks","95628","4467","US","AMER","2","2000-01-01","9999-12-31",38.638355,-121.286683
"1000000036","Layman Avenue","Dunn","28334","2250","US","AMER","2","2000-01-01","9999-12-31",35.312013,-78.60995
"1000000037","University Drive","Chicago","60605","4697","US","AMER","2","2000-01-01","9999-12-31",41.874591,-87.627303
"1000000038","Bagwell Avenue","Ocala","34471","1565","US","AMER","2","2000-01-01","9999-12-31",29.183977,-82.118413
"1000000039","Kantstraße","Callenberg","2681","56","DE","EMEA","2","2000-01-01","9999-12-31",51.096588,14.433772
"1000000040","Luetzowplatz","Trimport","54636","74","DE","EMEA","2","2000-01-01","9999-12-31",49.908759,6.578609
"1000000041","Brandenburgische Straße","Berlin Mariendorf","12107","10","DE","EMEA","2","2000-01-01","9999-12-31",52.492245,13.310903
"1000000042","An Der Urania","Marne","25705","30","DE","EMEA","2","2000-01-01","9999-12-31",53.952609,9.018139
"1000000043","Sonnenallee","Augsburg","86045","43","DE","EMEA","2","2000-01-01","9999-12-31",48.370625,10.893961
"1000000044","Brynglas Road","Glyntaff","CF37 3JJ","106","GB","EMEA","2","2000-01-01","9999-12-31",51.597073,-3.32135
"1000000045","Pier Road","Stanton Wick","BS18 9DW","86","GB","EMEA","2","2000-01-01","9999-12-31",51.355959,-2.557565
"1000000046","Scotsburn Rd","Talgarth","LD3 7QD","75","GB","EMEA","2","2000-01-01","9999-12-31",51.995666,-3.230553
"1000000047","Broomfield Place","Stonestreet Green","TN25 2XG","48","GB","EMEA","2","2000-01-01","9999-12-31",51.098513,0.950137
"1000000048","Guild Street","London","SE14 8JW","50","GB","EMEA","2","2000-01-01","9999-12-31",51.515982,-0.091245
"1000000049","Raglan Street","Kitoba","4605","5","AU","APJ","2","2000-01-01","9999-12-31",-26.073321,151.859836
"1000000050","Creedon Street","Meadow Heights","3048","11","AU","APJ","2","2000-01-01","9999-12-31",-37.651278,144.923051
"1000000051","Darwinia Loop","Kununurra","6743","11","AU","APJ","2","2000-01-01","9999-12-31",-15.802511,128.746775
"1000000052","Quayside Vista","Canberra","2601","18","AU","APJ","2","2000-01-01","9999-12-31",-35.279663,149.126715
"1000000053","Quayside Vista","Canberra","2601","95","AU","APJ","2","2000-01-01","9999-12-31",-35.278051,149.124245
"1000000054","Rahul Enclave","Mumbai","400092","105","IN","APJ","2","2000-01-01","9999-12-31",19.31394,72.857565
"1000000055","Nampally","Hyderabad","400092","43","IN","APJ","2","2000-01-01","9999-12-31",17.385758,78.467547
"1000000056","Rewa Fort Colony","Mumbai","400017","15","IN","APJ","2","2000-01-01","9999-12-31",19.046575,72.864262
"1000000057","Ambedkar Road","Mumbai","400012","10","IN","APJ","2","2000-01-01","9999-12-31",19.073197,72.826831
"1000000058","Faiz Road","Delhi","110005","93","IN","APJ","2","2000-01-01","9999-12-31",28.650563,77.200575
"1000000059","Box No. 18673","Jebel Ali Free Zone","18673","","DU","EMEA","2","2000-01-01","9999-12-31",25.006517,55.065244
