"SALESORDERID","SALESORDERITEM","PRODUCTID","NOTEID","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","IETMATPSTATUS","OPITEMPOS","QUANTITY","QUANTITYUNIT","EXPECTEDDELIVERYDATE"
"0500000001","0000000010","RO-1002","","USD",6976.12,6201.00,775.12,"I","",9,"EA","2016-02-14"
"0500000001","0000000020","RO-1003","","USD",4866.75,4326.00,540.75,"I","",6,"EA","2016-02-14"
"0500000002","0000000010","BX-1012","","USD",4039.87,3591.00,448.87,"I","",9,"EA","2016-02-08"
"0500000002","0000000040","BX-1013","","USD",1515.37,1347.00,168.37,"I","",3,"EA","2016-02-08"
"0500000002","0000000020","RO-1001","","USD",7087.50,6300.00,787.50,"I","",12,"EA","2016-02-08"
"0500000002","0000000050","CC-1022","","USD",9450.00,8400.00,1050.00,"I","",7,"EA","2016-02-08"
"0500000002","0000000030","DB-1081","","USD",13491.00,11992.00,1499.00,"I","",8,"EA","2016-02-08"
"0500000003","0000000010","HB-1174","","USD",2131.87,1895.00,236.87,"I","",5,"EA","2016-02-14"
"0500000003","0000000020","EB-1136","","USD",16875.00,15000.00,1875.00,"I","",3,"EA","2016-02-14"
"0500000003","0000000030","HB-1175","","USD",5056.87,4495.00,561.87,"I","",5,"EA","2016-02-14"
"0500000003","0000000040","CB-1161","","USD",897.75,798.00,99.75,"I","",2,"EA","2016-02-14"
"0500000003","0000000060","BX-1014","","USD",1797.75,1598.00,199.75,"I","",2,"EA","2016-02-14"
"0500000003","0000000050","RC-1056","","USD",28113.75,24990.00,3123.75,"I","",10,"EA","2016-02-14"
"0500000004","0000000010","RO-1002","","USD",7751.25,6890.00,861.25,"I","",10,"EA","2016-02-07"
"0500000004","0000000020","CB-1162","","USD",1350.00,1200.00,150.00,"I","",3,"EA","2016-02-07"
"0500000004","0000000100","MB-1031","","USD",3650.62,3245.00,405.62,"I","",5,"EA","2016-02-07"
"0500000004","0000000080","RC-1051","","USD",30925.12,27489.00,3436.12,"I","",11,"EA","2016-02-07"
"0500000004","0000000070","EB-1133","","USD",20250.00,18000.00,2250.00,"I","",8,"EA","2016-02-07"
"0500000004","0000000040","MB-1033","","USD",26993.25,23994.00,2999.25,"I","",6,"EA","2016-02-07"
"0500000004","0000000090","HB-1171","","USD",1572.75,1398.00,174.75,"I","",2,"EA","2016-02-07"
"0500000004","0000000030","DB-1083","","USD",5395.50,4796.00,599.50,"I","",4,"EA","2016-02-07"
"0500000004","0000000060","BX-1012","","USD",2693.25,2394.00,299.25,"I","",6,"EA","2016-02-07"
"0500000004","0000000050","RC-1055","","USD",4497.75,3998.00,499.75,"I","",2,"EA","2016-02-07"
"0500000005","0000000010","HB-1175","","USD",9102.37,8091.00,1011.37,"I","",9,"EA","2016-02-14"
"0500000005","0000000020","EB-1132","","USD",4275.00,3800.00,475.00,"I","",2,"EA","2016-02-14"
"0500000005","0000000030","CC-1023","","USD",15311.25,13610.00,1701.25,"I","",10,"EA","2016-02-14"
"0500000005","0000000040","EB-1131","","USD",18562.50,16500.00,2062.50,"I","",11,"EA","2016-02-14"
"0500000006","0000000010","RC-1053","","USD",10347.75,9198.00,1149.75,"I","",2,"EA","2016-02-13"
"0500000006","0000000020","MB-1032","","USD",2922.75,2598.00,324.75,"I","",2,"EA","2016-02-13"
"0500000006","0000000030","EB-1131","","USD",6750.00,6000.00,750.00,"I","",4,"EA","2016-02-13"
"0500000007","0000000010","HB-1173","","USD",3650.62,3245.00,405.62,"I","",5,"EA","2016-02-11"
"0500000007","0000000070","MB-1031","","USD",4380.75,3894.00,486.75,"I","",6,"EA","2016-02-11"
"0500000007","0000000030","RC-1051","","USD",8434.12,7497.00,937.12,"I","",3,"EA","2016-02-11"
"0500000007","0000000060","EB-1137","","USD",53325.00,47400.00,5925.00,"I","",6,"EA","2016-02-11"
"0500000007","0000000050","MB-1033","","USD",53986.50,47988.00,5998.50,"I","",12,"EA","2016-02-11"
"0500000007","0000000090","CB-1161","","USD",1795.50,1596.00,199.50,"I","",4,"EA","2016-02-11"
"0500000007","0000000020","BX-1014","","USD",1797.75,1598.00,199.75,"I","",2,"EA","2016-02-11"
"0500000007","0000000080","CC-1021","","USD",5148.00,4576.00,572.00,"I","",4,"EA","2016-02-11"
"0500000007","0000000040","EB-1131","","USD",11812.50,10500.00,1312.50,"I","",7,"EA","2016-02-11"
"0500000008","0000000010","RO-1001","","USD",1771.87,1575.00,196.87,"I","",3,"EA","2016-02-14"
"0500000009","0000000010","RC-1051","","USD",30925.12,27489.00,3436.12,"I","",11,"EA","2016-02-05"
"0500000009","0000000020","MB-1032","","USD",1461.37,1299.00,162.37,"I","",1,"EA","2016-02-05"
"0500000009","0000000070","HB-1172","","USD",6292.12,5593.00,699.12,"I","",7,"EA","2016-02-05"
"0500000009","0000000040","MB-1034","","USD",5622.75,4998.00,624.75,"I","",2,"EA","2016-02-05"
"0500000009","0000000030","RC-1054","","USD",6186.37,5499.00,687.37,"I","",1,"EA","2016-02-05"
"0500000009","0000000060","RO-1001","","USD",4725.00,4200.00,525.00,"I","",8,"EA","2016-02-05"
"0500000009","0000000050","DB-1081","","USD",11804.62,10493.00,1311.62,"I","",7,"EA","2016-02-05"
"0500000010","0000000010","RO-1003","","USD",5677.87,5047.00,630.87,"I","",7,"EA","2016-02-17"
"0500000010","0000000020","MB-1031","","USD",3650.62,3245.00,405.62,"I","",5,"EA","2016-02-17"
"0500000010","0000000030","RC-1054","","USD",49491.00,43992.00,5499.00,"I","",8,"EA","2016-02-17"
"0500000010","0000000040","RC-1055","","USD",17991.00,15992.00,1999.00,"I","",8,"EA","2016-02-17"
"0500000011","0000000010","RO-1003","","USD",1622.25,1442.00,180.25,"I","",2,"EA","2016-02-11"
"0500000011","0000000050","RC-1051","","USD",33736.50,29988.00,3748.50,"I","",12,"EA","2016-02-11"
"0500000011","0000000040","RC-1057","","USD",44991.00,39992.00,4999.00,"I","",8,"EA","2016-02-11"
"0500000011","0000000030","MB-1033","","USD",40489.87,35991.00,4498.87,"I","",9,"EA","2016-02-11"
"0500000011","0000000060","CB-1161","","USD",4937.62,4389.00,548.62,"I","",11,"EA","2016-02-11"
"0500000011","0000000020","RO-1001","","USD",1771.87,1575.00,196.87,"I","",3,"EA","2016-02-11"
"0500000012","0000000010","CC-1023","","USD",13780.12,12249.00,1531.12,"I","",9,"EA","2016-02-13"
"0500000012","0000000030","HB-1172","","USD",2696.62,2397.00,299.62,"I","",3,"EA","2016-02-13"
"0500000012","0000000040","RC-1054","","USD",55677.37,49491.00,6186.37,"I","",9,"EA","2016-02-13"
