"SALESORDERID","CREATEDBY","CREATEDAT","CHANGEDBY","CHANGEDAT","FISCVARIANT","FISCALYEARPERIOD","NOTEID","PARTNERID","SALESORG","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","LIFECYCLESTATUS","BILLINGSTATUS","DELIVERYSTATUS"
"0500000001","0000000018","2016-01-01","0000000018","2016-01-02","K4","2016001","","100000014","EMEA","USD",11842.87,10527.00,1315.87,"","","C"
"0500000002","0000000013","2016-01-02","0000000013","2016-01-03","K4","2016001","","100000031","AMER","USD",35583.74,31630.00,3953.74,"","","C"
"0500000003","0000000009","2016-01-02","0000000009","2016-01-05","K4","2016001","","100000004","AMER","USD",54872.99,48776.00,6096.99,"","","C"
"0500000004","0000000023","2016-01-02","0000000023","2016-01-05","K4","2016001","","100000008","EMEA","USD",105079.49,93404.00,11675.49,"","","C"
"0500000005","0000000016","2016-01-02","0000000016","2016-01-05","K4","2016001","","100000005","EMEA","USD",47251.12,42001.00,5250.12,"","","C"
"0500000006","0000000017","2016-01-02","0000000017","2016-01-03","K4","2016001","","100000006","EMEA","USD",20020.50,17796.00,2224.50,"","","C"
"0500000007","0000000013","2016-01-03","0000000013","2016-01-05","K4","2016001","","100000030","AMER","USD",144330.74,128294.00,16036.74,"","","C"
"0500000008","0000000019","2016-01-04","0000000019","2016-01-07","K4","2016001","","100000005","EMEA","USD",1771.87,1575.00,196.87,"","","C"
"0500000009","0000000006","2016-01-05","0000000006","2016-01-06","K4","2016001","","100000010","EMEA","USD",67017.35,59571.00,7446.35,"","","C"
"0500000010","0000000010","2016-01-06","0000000010","2016-01-07","K4","2016001","","100000002","AMER","USD",76810.49,68276.00,8534.49,"","","C"
"0500000011","0000000024","2016-01-07","0000000024","2016-01-08","K4","2016001","","100000022","APJ","USD",127549.11,113377.00,14172.11,"","","C"
"0500000012","0000000015","2016-01-07","0000000015","2016-01-10","K4","2016001","","100000009","EMEA","USD",80254.11,71337.00,8917.11,"","","C"
"0500000013","0000000018","2016-01-07","0000000018","2016-01-08","K4","2016001","","100000009","EMEA","USD",119007.00,105784.00,13223.00,"","","C"
"0500000014","0000000013","2016-01-07","0000000013","2016-01-08","K4","2016001","","100000030","AMER","USD",44001.00,39112.00,4889.00,"","","C"
"0500000015","0000000027","2016-01-08","0000000027","2016-01-11","K4","2016001","","100000019","APJ","USD",49217.60,43749.00,5468.60,"","","C"
"0500000016","0000000009","2016-01-09","0000000009","2016-01-12","K4","2016001","","100000033","AMER","USD",4497.75,3998.00,499.75,"","","C"
"0500000017","0000000026","2016-01-10","0000000026","2016-01-12","K4","2016001","","100000020","APJ","USD",44991.00,39992.00,4999.00,"","","C"
"0500000018","0000000019","2016-01-10","0000000019","2016-01-13","K4","2016001","","100000029","EMEA","USD",69913.12,62145.00,7768.12,"","","C"
"0500000019","0000000014","2016-01-11","0000000014","2016-01-14","K4","2016001","","100000032","AMER","USD",1795.50,1596.00,199.50,"","","C"
"0500000020","0000000027","2016-01-11","0000000027","2016-01-14","K4","2016001","","100000020","APJ","USD",57899.24,51466.00,6433.24,"","","C"
"0500000021","0000000006","2016-01-12","0000000006","2016-01-15","K4","2016001","","100000038","EMEA","USD",75397.49,67020.00,8377.49,"","","C"
"0500000022","0000000010","2016-01-12","0000000010","2016-01-13","K4","2016001","","100000033","AMER","USD",35550.00,31600.00,3950.00,"","","X"
"0500000023","0000000015","2016-01-13","0000000015","2016-01-14","K4","2016001","","100000011","EMEA","USD",90819.00,80728.00,10091.00,"","","C"
"0500000024","0000000025","2016-01-14","0000000025","2016-01-17","K4","2016001","","100000020","APJ","USD",119221.86,105975.00,13246.86,"","","C"
"0500000025","0000000019","2016-01-15","0000000019","2016-01-16","K4","2016001","","100000005","EMEA","USD",101172.37,89931.00,11241.37,"","","C"
"0500000026","0000000006","2016-01-15","0000000006","2016-01-18","K4","2016001","","100000025","EMEA","USD",29676.37,26379.00,3297.37,"","","C"
"0500000027","0000000014","2016-01-16","0000000014","2016-01-18","K4","2016001","","100000033","AMER","USD",48600.00,43200.00,5400.00,"","","C"
"0500000028","0000000015","2016-01-17","0000000015","2016-01-20","K4","2016001","","100000039","EMEA","USD",110557.12,98273.00,12284.12,"","","C"
"0500000029","0000000020","2016-01-17","0000000020","2016-01-18","K4","2016001","","100000012","EMEA","USD",48361.47,42988.00,5373.47,"","","C"
"0500000030","0000000015","2016-01-17","0000000015","2016-01-20","K4","2016001","","100000014","EMEA","USD",197450.98,175512.00,21938.98,"","","C"
"0500000031","0000000011","2016-01-17","0000000011","2016-01-19","K4","2016001","","100000031","AMER","USD",96769.11,86017.00,10752.11,"","","C"
"0500000032","0000000006","2016-01-18","0000000006","2016-01-19","K4","2016001","","100000025","EMEA","USD",4650.75,4134.00,516.75,"","","C"
"0500000033","0000000009","2016-01-19","0000000009","2016-01-22","K4","2016001","","100000003","AMER","USD",252122.61,224109.00,28013.61,"","","C"
"0500000034","0000000004","2016-01-19","0000000004","2016-01-20","K4","2016001","","100000015","APJ","USD",15444.00,13728.00,1716.00,"","","C"
"0500000035","0000000011","2016-01-20","0000000011","2016-01-21","K4","2016001","","100000033","AMER","USD",54829.12,48737.00,6092.12,"","","C"
"0500000036","0000000025","2016-01-21","0000000025","2016-01-22","K4","2016001","","100000022","APJ","USD",122611.49,108988.00,13623.49,"","","C"
"0500000037","0000000009","2016-01-21","0000000009","2016-01-23","K4","2016001","","100000030","AMER","USD",12615.74,11214.00,1401.74,"","","C"
"0500000038","0000000027","2016-01-21","0000000027","2016-01-23","K4","2016001","","100000020","APJ","USD",121216.50,107748.00,13468.50,"","","C"
"0500000039","0000000015","2016-01-22","0000000015","2016-01-24","K4","2016001","","100000036","EMEA","USD",155276.99,138024.00,17252.99,"","","C"
"0500000040","0000000003","2016-01-22","0000000003","2016-01-24","K4","2016001","","100000026","EMEA","USD",97051.49,86268.00,10783.49,"","","C"
"0500000041","0000000011","2016-01-22","0000000011","2016-01-23","K4","2016001","","100000031","AMER","USD",15265.11,13569.00,1696.11,"","","C"
"0500000042","0000000017","2016-01-23","0000000017","2016-01-26","K4","2016001","","100000039","EMEA","USD",5504.62,4893.00,611.62,"","","C"
"0500000043","0000000023","2016-01-23","0000000023","2016-01-25","K4","2016001","","100000007","EMEA","USD",23625.00,21000.00,2625.00,"","","C"
"0500000044","0000000013","2016-01-24","0000000013","2016-01-25","K4","2016001","","100000002","AMER","USD",6962.62,6189.00,773.62,"","","C"
"0500000045","0000000026","2016-01-25","0000000026","2016-01-28","K4","2016001","","100000023","APJ","USD",59088.37,52523.00,6565.37,"","","C"
"0500000046","0000000007","2016-01-25","0000000007","2016-01-28","K4","2016001","","100000034","AMER","USD",64695.35,57507.00,7188.35,"","","C"
"0500000047","0000000021","2016-01-26","0000000021","2016-01-29","K4","2016001","","100000006","EMEA","USD",69219.00,61528.00,7691.00,"","","C"
"0500000048","0000000022","2016-01-27","0000000022","2016-01-28","K4","2016001","","100000039","EMEA","USD",184042.10,163593.00,20449.10,"","","C"
"0500000049","0000000026","2016-01-28","0000000026","2016-01-30","K4","2016001","","100000019","APJ","USD",88770.36,78907.00,9863.36,"","","C"
"0500000050","0000000027","2016-01-28","0000000027","2016-01-31","K4","2016001","","100000024","APJ","USD",168558.74,149830.00,18728.74,"","","C"
"0500000051","0000000013","2016-01-28","0000000013","2016-01-30","K4","2016001","","100000030","AMER","USD",17188.87,15279.00,1909.87,"","","C"
"0500000052","0000000007","2016-01-28","0000000007","2016-01-31","K4","2016001","","100000001","AMER","USD",51601.47,45868.00,5733.47,"","","X"
"0500000053","0000000017","2016-01-28","0000000017","2016-01-30","K4","2016001","","100000028","EMEA","USD",108109.11,96097.00,12012.11,"","","C"
"0500000054","0000000025","2016-01-29","0000000025","2016-02-01","K4","2016001","","100000017","APJ","USD",79394.62,70573.00,8821.62,"","","C"
"0500000055","0000000016","2016-01-30","0000000016","2016-02-02","K4","2016001","","100000007","EMEA","USD",149395.49,132796.00,16599.49,"","","C"
"0500000056","0000000023","2016-01-31","0000000023","2016-02-03","K4","2016001","","100000013","EMEA","USD",81829.11,72737.00,9092.11,"","","C"
"0500000057","0000000020","2016-02-01","0000000020","2016-02-03","K4","2016002","","100000028","EMEA","USD",136655.99,121472.00,15183.99,"","","C"
"0500000058","0000000009","2016-02-02","0000000009","2016-02-05","K4","2016002","","100000034","AMER","USD",8488.12,7545.00,943.12,"","","C"
