"PRODUCTID","LANGUAGE","SHORT_DESCR","MEDIUM_DESCR","LONG_DESCR","PRODCATEGORYID","SUPPLIER_PARTNERID","MANUFACTURINGCOMPANY","TAXTARIFFCODE","QUANTITYUNIT","CURRENCY","PRICE"
"V-NB-1001","EN","12"" TacBook-8","","12"" TacBook with 8 GB RAM","V-NB","100000099","TacBook Inc.","1","EA","USD",1299
"V-NB-1002","EN","13"" TacBook-8","","13"" TacBook with 8 GB RAM","V-NB","100000099","TacBook Inc.","1","EA","USD",1499
"V-NB-1003","EN","15"" TacBookP-16","","15"" TacBook Pro with 16 GB RAM","V-NB","100000099","TacBook Inc.","1","EA","USD",2349
"V-NB-1004","EN","17"" TacBookP-16","","17"" TacBook Pro with 16 GB RAM","V-NB","100000099","TacBook Inc.","1","EA","USD",2499
"V-NB-1005","EN","15"" Menovo-8-256","","15"" Menovo Air with 8 GB RAM 256 GB SSD","V-NB","100000099","Menovo Notebooks GmbH","1","EA","USD",1050
"V-NB-1006","EN","14"" Pell-CP","","14"" Pell Comfort Pro","V-NB","100000099","Pell Hardware Inc.","1","EA","USD",1190
"V-NB-1007","EN","17"" Pell-SP","","17"" Pell SuperSlim Pro","V-NB","100000099","Pell Hardware Inc.","1","EA","USD",2190
"V-NB-1008","EN","14"" BP Notebook-E","","14"" BP Notebook Eco","V-NB","100000099","BP Quality Laptops Pvt. Ltd.","1","EA","USD",950
"V-NB-1009","EN","15"" BP Notebook-P","","15"" BP Notebook Pro","V-NB","100000099","BP Quality Laptops Pvt. Ltd.","1","EA","USD",1500
"V-NB-1010","EN","15"" BP Notebook-EP","","15"" BP Notebook Elite with Detachable Screen","V-NB","100000099","BP Quality Laptops Pvt. Ltd.","1","EA","USD",2300
"V-FM-1011","EN","24"" LED","","24"" LED Monitor","V-FM","100000099","Chen Monitors Inc.","1","EA","USD",312
"V-FM-1012","EN","27"" LED","","27"" LED Monitor","V-FM","100000099","Chen Monitors Inc.","1","EA","USD",500
"V-FM-1013","EN","27"" LED 4K","","27"" LED Monitor with 4K Resolution","V-FM","100000099","Chen Monitors Inc.","1","EA","USD",749
"V-FM-1014","EN","32"" LED","","32"" LED Monitor","V-FM","100000099","Chen Monitors Inc.","1","EA","USD",700
"V-FM-1015","EN","34"" LCD","","34"" LCD Monitor","V-FM","100000099","Chen Monitors Inc.","1","EA","USD",649
"V-FM-1016","EN","38"" LED","","38"" LED Monitor","V-FM","100000099","Chen Monitors Inc.","1","EA","USD",849
"V-CM-1017","EN","34"" Curved","","34"" Curved LED Monitor","V-CM","100000099","Chen Monitors Inc.","1","EA","USD",649
"V-CM-1018","EN","38"" Curved","","38"" Curved LED Monitor","V-CM","100000099","Chen Monitors Inc.","1","EA","USD",999
"V-KB-1019","EN","Simple Keyboard","","Simple Wired Keyboard","V-KB","100000099","Sticky GmbH","1","EA","USD",29
"V-KB-1020","EN","Conmfort Keyboard","","Comfort Wireless Keyboard","V-KB","100000099","Sticky GmbH","1","EA","USD",69
"V-KB-1021","EN","Ergonomic Keyboard","","Comfort Pro Ergonomic Keyboard","V-KB","100000099","Sticky GmbH","1","EA","USD",121
"V-MI-1022","EN","Simple Mouse","","Simple Wired Mouse","V-MI","100000099","Sticky GmbH","1","EA","USD",16
"V-MI-1023","EN","Conmfort Mouse","","Comfort Wireless Mouse","V-MI","100000099","Sticky GmbH","1","EA","USD",49
"V-MI-1024","EN","Ergonomic Mouse","","Comfort Pro Ergonomic Mouse","V-MI","100000099","Sticky GmbH","1","EA","USD",159
"V-S-1025","EN","ePhone 2019","","ePhone 2019 Pro Max","V-S","100000099","ePhone Inc.","1","EA","USD",799
"V-S-1026","EN","ePhone 2019","","ePhone 2020 Pro Max","V-S","100000099","ePhone Inc.","1","EA","USD",1199
"V-S-1027","EN","Pi Phone 4","","Pi Phone 4 with 5.8"" Screen","V-S","100000099","PiPhone Corp.","1","EA","USD",499
"V-S-1028","EN","Pi Phone 5","","Pi Phone 5 with 6"" Screen","V-S","100000099","PiPhone Corp.","1","EA","USD",799
"V-S-1029","EN","Pi Phone 6","","Pi Phone 6 with 6.2"" Screen","V-S","100000099","PiPhone Corp.","1","EA","USD",999
"V-HS-1030","EN","1-Ear HS","","Kabra 1-Ear Headset","V-HS","100000099","Kabra HiFi Sounds GmbH","1","EA","USD",79
"V-HS-1031","EN","Duo WHS","","Kabra Duo Wired Headset ","V-HS","100000099","Kabra HiFi Sounds GmbH","1","EA","USD",119
"V-HS-1032","EN","SuperPro WLHS","","Kabra SuperPro Wireless Headset with Noise Cancelation","V-HS","100000099","Kabra HiFi Sounds GmbH","1","EA","USD",229
"V-HS-1033","EN","Bluetooth HF","","Kabra Bluetooth Handsfree for Smartphones","V-HS","100000099","Kabra HiFi Sounds GmbH","1","EA","USD",159
"V-T-1034","EN","PiTab 11""","","PiTab 11"" with 16 GB RAM","V-T","100000099","PiPhone Corp.","1","EA","USD",1129
"V-T-1035","EN","PiTab 9""","","PiTab 9"" with 12 GB RAM","V-T","100000099","PiPhone Corp.","1","EA","USD",749
"V-HC-1036","EN","HDMI Cable","","Bacer HDMI Cable","V-HC","100000099","Bacer Accessories Inc.","1","EA","USD",19
"V-DS-1037","EN","Thunderstorm 2 DS","","Bacer Thunderstorm 2 Docking Station","V-DS","100000099","Bacer Accessories Inc.","1","EA","USD",249
"V-LL-1038","EN","Laptop Lock","","Bacer High Security Laptop Lock","V-LL","100000099","Bacer Accessories Inc.","1","EA","USD",79
"V-SP-1039","EN","Spider Speaker Phone","","Bacer Spider Speaker Phone with Mic","V-SP","100000099","Bacer Accessories Inc.","1","EA","USD",299
"V-PR-1040","EN","Projector","","Bacer HD Projector","V-PR","100000099","Bacer Accessories Inc.","1","EA","USD",2199
"V-DP-1041","EN","Desk Phone","","Bacer Desk Phone with Wireless Function","V-DP","100000099","Bacer Accessories Inc.","1","EA","USD",149
"V-LB-1042","EN","Laptop Case","","14"" Laptop Sleek Case","V-LB","100000099","Bacer Accessories Inc.","1","EA","USD",19
"V-LB-1043","EN","15"" Laptop Bag ","","15"" Laptop Bag with Additional Storage","V-LB","100000099","Bacer Accessories Inc.","1","EA","USD",79
