"PRODCATEGORY","LANGUAGE","SHORT_DESCR","MEDIUM_DESCR","LONG_DESCR"
"V-E","EN","","Electronics",""
"V-NB","EN","","Notebooks",""
"V-M","EN","","Monitors",""
"V-FM","EN","","Flat Monitors",""
"V-CM","EN","","Curved Monitors",""
"V-S","EN","","Smartphones",""
"V-T","EN","","Tablet Computers",""
"V-A","EN","","Accessories",""
"V-KB","EN","","Keyboards",""
"V-MI","EN","","Mice",""
"V-HS","EN","","Headsets",""
"V-HC","EN","","HDMI Cables",""
"V-DS","EN","","Docking Stations",""
"V-LB","EN","","Laptop Bags",""
"V-LL","EN","","Laptop Locks",""
"V-O","EN","","Office Hardware",""
"V-AU","EN","","Audio Hardware Devices",""
"V-SP","EN","","Speaker Phones",""
"V-DP","EN","","Desk Phones",""
"V-VI","EN","","Video Hardware Devices",""
"V-PR","EN","","Projectors",""
"V-CD","EN","","Conference Devices",""
