RestaurantID;RestaurantName;AddressID;RestaurantAddress;RestaurantCity;RestaurantState;RestaurantCountry;RestaurantZIP;Alcohol;Smoking;DressCode;Pricing;Accessibility;Franchise;OtherServices;Parking;Cuisine;WorkingHours;OpeningTime;ClosingTime;WorkingDays;WorkingDay_Sunday;WorkingDay_Monday;WorkingDay_Tuesday;WorkingDay_Wednesday;WorkingDay_Thursday;WorkingDay_Friday;WorkingDay_Saturday;DeliveryType;DeliveryRate
RE10100;Raffael''s Cafe;A1071469;Lukken;Berlin;Brandenburg;Germany;88151;No_Alcohol_Served;none;informal;4;no_accessibility;f;none;public;Spanish;"00:00-23:30;";00:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10101;Federico''s Pizza Deli;A1035223;Dennis;Berlin;Brandenburg;Germany;599808;No_Alcohol_Served;none;informal;2;completely;f;none;none;Italian;"00:00-23:30;";00:00;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10102;Froggy''s Take Out;A1092042;Rusk;Berlin;Brandenburg;Germany;831711;Wine-Beer;only at bar;informal;4;partially;f;none;none;Latin_American;"00:00-23:30;";00:00;23:30;"Sun;";Yes;No;No;No;No;No;No;FlatRate;5
RE10103;Wind River Ranch;A1090699;Portage;Berlin;Brandenburg;Germany;105107;No_Alcohol_Served;none;informal;1;completely;t;none;none;Mexican;"08:00-19:00;";08:00;19:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;5
RE10104;William Street Park Summer Feeding Progra;A1020029;Gale;Berlin;Brandenburg;Germany;89862;No_Alcohol_Served;permitted;informal;2;completely;t;none;none;Fast_Food;"00:00-00:00;";00:00;00:00;"Sat;";No;No;No;No;No;No;Yes;FlatRate;5
RE10105;Kc Chocolatier;A1054441;Truax;Berlin;Brandenburg;Germany;554533;Wine-Beer;none;informal;2;no_accessibility;f;none;none;Mexican;"00:00-00:00;";00:00;00:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10106;Cooperstown Youth Baseball Clubhouse;A1046626;Evergreen;Berlin;Brandenburg;Germany;43107;No_Alcohol_Served;none;casual;3;completely;f;none;none;Burgers;"08:00-21:00;";08:00;21:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10107;Oneida County 40 & 8, Local 92;A1074389;Mallory;Berlin;Brandenburg;Germany;761142;Wine-Beer;section;informal;5;no_accessibility;t;Internet;yes;Dessert-Ice_Cream;"08:00-21:00;";08:00;21:00;"Sat;";No;No;No;No;No;No;Yes;FlatRate;5
RE10108;Patty''s Sports Pub Inc.;A1035543;North;Berlin;Brandenburg;Germany;3445;No_Alcohol_Served;not permitted;informal;2;completely;t;none;valet parking;Fast_Food;"08:00-21:00;";08:00;21:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10109;Shen Wang Chinese Restaurant;A1066326;Morningstar;Berlin;Brandenburg;Germany;317045;No_Alcohol_Served;none;informal;3;no_accessibility;f;none;valet parking;Hot_Dogs;"00:00-23:30;";00:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10110;Gigi''s Italian Restaurant & Pizzeria;A1002293;Sage;Berlin;Brandenburg;Germany;266366;No_Alcohol_Served;none;informal;4;no_accessibility;f;none;public;Latin_American;"00:00-23:30;";00:00;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10111;Hebrew Institute Of White Plains;A1082951;Texas;Berlin;Brandenburg;Germany;756521;Wine-Beer;none;informal;3;no_accessibility;f;none;none;Mexican;"00:00-23:30;";00:00;23:30;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10112;Stay Inn Albany;A1014864;Bartillon;Berlin;Brandenburg;Germany;499193;Wine-Beer;section;informal;1;no_accessibility;f;none;valet parking;Steaks;"07:00-23:30;";07:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10113;Smokin Joe''s Bar & Grill;A1065815;Iowa;Berlin;Brandenburg;Germany;690983;Wine-Beer;none;informal;4;no_accessibility;f;none;valet parking;Mexican;"07:00-23:30;";07:00;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10114;Sams Gas;A1036982;Union;Berlin;Brandenburg;Germany;379505;No_Alcohol_Served;not permitted;informal;4;no_accessibility;t;none;yes;Steaks;"07:00-23:30;";07:00;23:30;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10115;Ccattle''s, Llc;A1099653;Cambridge;Berlin;Brandenburg;Germany;103935;No_Alcohol_Served;not permitted;informal;5;no_accessibility;f;none;public;Mexican;"18:00-23:30;";18:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;5
RE10116;Village Eatery;A1037662;Valley Edge;Berlin;Brandenburg;Germany;773439;Wine-Beer;none;informal;5;completely;f;none;yes;Steaks;"18:00-23:30;";18:00;23:30;"Sat;";No;No;No;No;No;No;Yes;FlatRate;7,5
RE10117;Roosevelt Children''s Acdmy Chrtr Sch;A1087390;Shoshone;Berlin;Brandenburg;Germany;121715;Full_Bar;section;informal;5;completely;f;variety;none;Asian;"18:00-21:00;";18:00;21:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10118;Re Aldo Pizzeria;A1078770;Lakewood Gardens;Berlin;Brandenburg;Germany;10449;Wine-Beer;none;informal;3;completely;f;none;fee;Dessert-Ice_Cream;"00:00-23:30;";00:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10119;Ready Beans;A1060358;Center;Berlin;Brandenburg;Germany;343410;No_Alcohol_Served;none;informal;4;completely;f;none;public;International;"20:30-23:30;";20:30;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10120;Jernabi Coffee;A1057295;Quincy;Berlin;Brandenburg;Germany;461941;No_Alcohol_Served;section;informal;5;no_accessibility;f;none;yes;Mongolian;"00:00-23:30;";00:00;23:30;"Sun;";Yes;No;No;No;No;No;No;FlatRate;10
RE10121;Malek''s Brighton Bakery;A1029681;Upham;Berlin;Brandenburg;Germany;216594;Wine-Beer;none;casual;1;completely;f;none;public;Steaks;"00:00-23:30;";00:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10122;Wok And Roll;A1066480;Morning;Berlin;Brandenburg;Germany;935212;Full_Bar;section;informal;2;no_accessibility;f;none;yes;Vegetarian;"00:00-23:30;";00:00;23:30;"Sat;";No;No;No;No;No;No;Yes;FlatRate;7,5
RE10123;Crystal Bay Catering;A1002227;Randy;Berlin;Brandenburg;Germany;511618;No_Alcohol_Served;not permitted;informal;5;completely;f;none;public;Brazilian;"00:00-23:30;";00:00;23:30;"Sun;";Yes;No;No;No;No;No;No;FlatRate;7,5
RE10124;All Smoked Out Roadside Bbq;A1084124;Lakewood Gardens;Berlin;Brandenburg;Germany;959176;No_Alcohol_Served;none;informal;5;no_accessibility;f;none;yes;International;"12:00-22:00;";12:00;22:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;5
RE10125;Salty Rita;A1055425;Sunnyside;Berlin;Brandenburg;Germany;38325;No_Alcohol_Served;none;informal;2;no_accessibility;f;none;none;Latin_American;"12:00-23:00;";12:00;23:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10126;Pierogi Wagon;A1006235;Roth;Berlin;Brandenburg;Germany;221314;No_Alcohol_Served;not permitted;casual;5;partially;t;none;none;Steaks;"12:00-22:00;";12:00;22:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10127;Pine Island Deli;A1005542;Ronald Regan;Berlin;Brandenburg;Germany;546157;No_Alcohol_Served;none;informal;1;completely;f;none;none;Cafe-Coffee_Shop;"09:00-23:00;";09:00;23:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10128;Alabama Hotel;A1027980;Dennis;Berlin;Brandenburg;Germany;451809;Wine-Beer;none;casual;5;no_accessibility;f;none;none;Cafeteria;"09:00-01:00;";09:00;01:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10129;Southern Kitchen Soul Food Restaurant;A1035335;Swallow;Berlin;Brandenburg;Germany;870152;No_Alcohol_Served;none;informal;3;no_accessibility;f;none;yes;Contemporary;"09:00-22:00;";09:00;22:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10130;David King Chinese Restaurant;A1009725;Heath;Berlin;Brandenburg;Germany;444623;No_Alcohol_Served;none;informal;3;no_accessibility;f;none;yes;Deli-Sandwiches;"13:00-08:00;";13:00;08:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10131;Popeyes Famous Fried Chicken;A1047248;Crescent Oaks;Berlin;Brandenburg;Germany;837117;Full_Bar;section;informal;4;completely;f;variety;yes;Diner;"13:00-08:00;";13:00;08:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10132;New Mex Cafe;A1061773;Hoard;Berlin;Brandenburg;Germany;566202;No_Alcohol_Served;section;informal;1;no_accessibility;f;none;yes;Mexican;"13:00-08:00;";13:00;08:00;"Sun;";Yes;No;No;No;No;No;No;FlatRate;5
RE10133;Dollop;A1044974;Randy;Berlin;Brandenburg;Germany;116179;Wine-Beer;none;informal;2;no_accessibility;f;none;public;Mexican;"14:00-23:30;";14:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
