RESTID;CUISINE;ITEMNAME;ITEMID;CATEGORY;PRICE
RE10100;Spanish;Virgin Mojito;IT1010001;Drink;9
RE10100;Spanish;Chicken Parmesan;IT1010002;Main Course;15
RE10100;Spanish;Enchiladas;IT1010003;Main Course;25
RE10100;Spanish;Stuffed Fish Fillet;IT1010004;Main Course;11
RE10100;Spanish;Marinated Pork Fillet;IT1010005;Main Course;16
RE10101;Italian;Bruschetta;IT1010101;Starter;5
RE10101;Italian;Pepperoni Pizza;IT1010102;Main Course;23
RE10101;Italian;Bolognese Pasta;IT1010103;Main Course;28
RE10101;Italian;Smoked Mushroom Soup;IT1010104;Starter;14
RE10101;Italian;Tiramisu;IT1010105;Dessert;13
RE10102;Latin_American;Chicken with Chilli Flakes;IT1010201;Main Course;28
RE10102;Latin_American;Parillia Steak;IT1010202;Main Course;27
RE10102;Latin_American;Tostades;IT1010203;Main Course;13
RE10102;Latin_American;Soft Shell Tacos;IT1010204;Main Course;11
RE10102;Latin_American;Chimichangas;IT1010205;Main Course;27
RE10103;Mexican;Fire Burrito;IT1010301;Main Course;29
RE10103;Mexican;Chilli Tacos;IT1010302;Main Course;27
RE10103;Mexican;Chicken Quasedillas;IT1010303;Main Course;23
RE10103;Mexican;Grilled Pork;IT1010304;Main Course;26
RE10103;Mexican;Pork Burritos;IT1010305;Main Course;10
RE10104;Fast_Food;Hot Dog with Fries;IT1010401;Main Course;11
RE10104;Fast_Food;Chicken Burger;IT1010402;Main Course;20
RE10104;Fast_Food;Hamburger;IT1010403;Main Course;15
RE10104;Fast_Food;Beef Burger;IT1010404;Main Course;13
RE10104;Fast_Food;Soda;IT1010405;Drink;5
RE10105;Mexican;Fire Burrito;IT1010501;Main Course;29
RE10105;Mexican;Chilli Tacos;IT1010502;Main Course;15
RE10105;Mexican;Chicken Quasedillas;IT1010503;Main Course;28
RE10105;Mexican;Grilled Pork;IT1010504;Main Course;28
RE10105;Mexican;Pork Burritos;IT1010505;Main Course;11
RE10106;Burgers;Chicken Burger;IT1010601;Main Course;16
RE10106;Burgers;Hamburger;IT1010602;Main Course;16
RE10106;Burgers;Beef Burger;IT1010603;Main Course;12
RE10106;Burgers;Mixed Burger;IT1010604;Main Course;12
