ORDERID	ORDERCREATEDBY	ORDERCREATEDON	CUSTOMERID	RESTAURANTID	ADDRESSID	TotalQuantity	TotalGrossAmount	TotalNetAmount	TaxAmount	PAYMENTMETHOD	DeliveryType	DeliveryRate	BillAmount	PAYMENTMETHOD	FOODRATING	SERVICERATING	OVERALLRATING
5000000001	EMP13436	01.01.19	C147351	RE10535	CA103238	7	146	127.750	18.250	Card	Free	0	146	Card	4	5	4,5
5000000002	EMP12070	01.01.19	C135040	RE10169	CA104667	4	48	42.000	6.000	Card	Free	0	48	Card	2	2	2
5000000003	EMP12409	01.01.19	C168537	RE10508	CA105861	8	181	158.375	22.625	Card	Free	0	181	Card	1	5	3
5000000004	EMP13100	01.01.19	C115677	RE10199	CA105374	4	60	52.500	7.500	Card	Free	0	60	Card	1	5	3
5000000005	EMP12223	01.01.19	C160639	RE10322	CA108613	1	17	14.875	2.125	Card	Free	0	17	Card	3	2	2,5
5000000006	EMP11346	01.01.19	C158722	RE10445	CA108421	5	45	39.375	5.625	Cash	FlatRate	07. May	52.5	Cash	2	3	2,5
5000000007	EMP13205	01.01.19	C190472	RE10304	CA104670	2	58	50.750	7.250	Card	FlatRate	07. May	65.5	Card	1	1	1
5000000008	EMP13031	01.01.19	C158722	RE10130	CA108421	4	88	77.000	11.000	Cash	Free	0	88	Cash	3	4	3,5
5000000009	EMP11376	01.01.19	C114163	RE10475	CA108685	7	157	137.375	19.625	Card	Free	0	157	Card	1	4	2,5
5000000010	EMP14466	01.01.19	C102535	RE10565	CA109275	3	39	34.125	4.875	Cash	FlatRate	07. May	46.5	Cash	5	5	5
5000000011	EMP12439	01.01.19	C122046	RE10538	CA101351	5	71	62.125	8.875	Card	FlatRate	07. May	78.5	Card	5	4	4,5
5000000012	EMP14328	01.01.19	C118273	RE10427	CA100288	3	39	34.125	4.875	Card	Free	0	39	Card	1	1	1
5000000013	EMP12010	01.01.19	C122401	RE10109	CA107318	6	110	96.250	13.750	Cash	Free	0	110	Cash	5	2	3,5
5000000014	EMP14055	01.01.19	C173030	RE10154	CA105786	5	38	33.250	4.750	Card	Free	0	38	Card	3	3	3
5000000015	EMP12370	01.01.19	C129981	RE10469	CA101382	5	106	92.750	13.250	Card	FlatRate	5	111	Card	4	3	3,5
5000000016	EMP12256	01.01.19	C134459	RE10355	CA104709	8	179	156.625	22.375	Cash	Free	0	179	Cash	4	5	4,5
5000000017	EMP12193	01.01.19	C186416	RE10292	CA101372	2	48	42.000	6.000	Card	Free	0	48	Card	4	1	2,5
5000000018	EMP13382	01.01.19	C170334	RE10481	CA102149	5	94	82.250	11.750	Cash	Free	0	94	Cash	4	5	4,5
5000000019	EMP13424	01.01.19	C116306	RE10523	CA107305	4	42	36.750	5.250	Card	Free	0	42	Card	1	4	2,5
5000000020	EMP13125	01.01.19	C198249	RE10224	CA102574	4	88	77.000	11.000	Card	FlatRate	5	93	Card	1	4	2,5
5000000021	EMP11454	01.01.19	C105580	RE10553	CA105783	4	56	49.000	7.000	Cash	Free	0	56	Cash	3	1	2
5000000022	EMP14007	01.01.19	C199960	RE10106	CA104222	4	68	59.500	8.500	Cash	Free	0	68	Cash	3	5	4
5000000023	EMP14073	01.01.19	C130543	RE10172	CA106095	2	26	22.750	3.250	Cash	FlatRate	10	36	Cash	2	2	2
5000000024	EMP13256	01.01.19	C162245	RE10355	CA106267	1	15	13.125	1.875	Cash	Free	0	15	Cash	3	4	3,5
5000000025	EMP14019	01.01.19	C150173	RE10118	CA109238	8	154	134.750	19.250	Card	Free	0	154	Card	1	4	2,5
5000000026	EMP14376	01.01.19	C186986	RE10475	CA101339	5	106	92.750	13.250	Card	Free	0	106	Card	2	3	2,5
5000000027	EMP14484	01.01.19	C173030	RE10583	CA105786	2	37	32.375	4.625	Card	FlatRate	10	47	Card	1	3	2
5000000028	EMP12199	01.01.19	C155140	RE10298	CA101706	4	62	54.250	7.750	Card	Free	0	62	Card	4	2	3
5000000029	EMP11091	01.01.19	C131934	RE10190	CA101602	5	34	29.750	4.250	Cash	Free	0	34	Cash	3	3	3
5000000030	EMP13058	01.01.19	C186367	RE10157	CA102273	6	136	119.000	17.000	Card	Free	0	136	Card	2	1	1,5
5000000031	EMP12340	01.01.19	C104837	RE10439	CA109897	3	75	65.625	9.375	Card	Free	0	75	Card	3	3	3
5000000032	EMP11070	01.01.19	C192461	RE10169	CA101369	3	81	70.875	10.125	Cash	Free	0	81	Cash	3	1	2
5000000033	EMP12301	01.01.19	C164764	RE10400	CA107504	5	41	35.875	5.125	Card	Free	0	41	Card	1	1	1
5000000034	EMP13409	01.01.19	C158490	RE10508	CA106605	5	106	92.750	13.250	Cash	Free	0	106	Cash	4	3	3,5
5000000035	EMP14481	01.01.19	C151506	RE10580	CA101761	7	157	137.375	19.625	Cash	Free	0	157	Cash	1	3	2
5000000036	EMP14373	01.01.19	C167682	RE10472	CA103018	3	60	52.500	7.500	Card	Free	0	60	Card	1	2	1,5
5000000037	EMP12238	01.01.19	C136477	RE10337	CA102132	3	75	65.625	9.375	Cash	FlatRate	07. May	82.5	Cash	4	5	4,5
5000000038	EMP12352	01.01.19	C184812	RE10451	CA101260	3	45	39.375	5.625	Card	Free	0	45	Card	1	1	1
5000000039	EMP13376	01.01.19	C123704	RE10475	CA105993	5	90	78.750	11.250	Card	Free	0	90	Card	1	4	2,5
5000000040	EMP14058	01.01.19	C172837	RE10157	CA105544	6	129	112.875	16.125	Cash	Free	0	129	Cash	1	1	1
5000000041	EMP12484	01.01.19	C115458	RE10583	CA103802	3	60	52.500	7.500	Card	FlatRate	10	70	Card	3	2	2,5
5000000042	EMP14292	01.01.19	C150759	RE10391	CA107830	5	107	93.625	13.375	Card	Free	0	107	Card	3	5	4
5000000043	EMP13256	01.01.19	C137897	RE10355	CA107171	1	15	13.125	1.875	Card	Free	0	15	Card	4	4	4
5000000044	EMP13343	01.01.19	C160432	RE10442	CA102655	5	96	84.000	12.000	Cash	FlatRate	5	101	Cash	3	1	2
5000000045	EMP11007	02.01.19	C101972	RE10106	CA103378	2	24	21.000	3.000	Card	Free	0	24	Card	2	5	3,5
5000000046	EMP12079	02.01.19	C165140	RE10178	CA106790	3	23	20.125	2.875	Card	Free	0	23	Card	2	3	2,5
5000000047	EMP14268	02.01.19	C186003	RE10367	CA104188	2	38	33.250	4.750	Card	Free	0	38	Card	2	4	3
5000000048	EMP14070	02.01.19	C123221	RE10169	CA104345	6	74	64.750	9.250	Cash	Free	0	74	Cash	2	1	1,5
5000000049	EMP12070	02.01.19	C113199	RE10169	CA109446	7	78	68.250	9.750	Card	Free	0	78	Card	5	5	5
5000000050	EMP12463	02.01.19	C142205	RE10562	CA108642	7	143	125.125	17.875	Card	FlatRate	5	148	Card	2	3	2,5
5000000051	EMP12034	02.01.19	C141142	RE10133	CA101235	3	48	42.000	6.000	Card	Free	0	48	Card	4	5	4,5
5000000052	EMP11478	02.01.19	C144536	RE10577	CA109107	7	153	133.875	19.125	Card	FlatRate	07. May	160.5	Card	5	4	4,5
5000000053	EMP12454	02.01.19	C141422	RE10553	CA102867	2	26	22.750	3.250	Cash	Free	0	26	Cash	1	3	2
5000000054	EMP11256	02.01.19	C115677	RE10355	CA105374	4	89	77.875	11.125	Card	Free	0	89	Card	2	5	3,5
5000000055	EMP14424	02.01.19	C170068	RE10523	CA102336	2	56	49.000	7.000	Card	Free	0	56	Card	1	2	1,5
5000000056	EMP14100	02.01.19	C122928	RE10199	CA101493	7	160	140.000	20.000	Card	Free	0	160	Card	5	3	4
5000000057	EMP13193	02.01.19	C162717	RE10292	CA106552	3	55	48.125	6.875	Card	Free	0	55	Card	1	4	2,5
5000000058	EMP11004	02.01.19	C122928	RE10103	CA101493	4	81	70.875	10.125	Card	FlatRate	5	86	Card	4	3	3,5
5000000059	EMP12433	02.01.19	C135741	RE10532	CA104562	3	63	55.125	7.875	Card	Free	0	63	Card	3	5	4
5000000060	EMP12055	02.01.19	C116375	RE10154	CA103490	6	57	49.875	7.125	Cash	Free	0	57	Cash	2	5	3,5
5000000061	EMP14196	02.01.19	C119444	RE10295	CA108478	2	40	35.000	5.000	Card	Free	0	40	Card	5	2	3,5
5000000062	EMP14127	02.01.19	C156282	RE10226	CA109312	6	84	73.500	10.500	Card	Free	0	84	Card	5	1	3
5000000063	EMP11478	02.01.19	C116306	RE10577	CA107305	6	113	98.875	14.125	Card	FlatRate	07. May	120.5	Card	3	1	2
