"MANDT","KURST","FCURR","TCURR","GDATU","UKURS","FFACT","TFACT"
"002",M,USD,EUR,"79898882",0.73660,0,0
"002",M,USD,EUR,"79899070",0.74090,0,0
"002",M,USD,EUR,"79899581",0.74090,0,0
"002",M,USD,EUR,"79899587",0.74090,0,0
"002",M,USD,EUR,"79899694",0.73370,0,0
"002",M,USD,EUR,"79899775",0.73660,0,0
"002",M,USD,EUR,"79899896",0.69500,0,0
"002",M,USD,EUR,"79908769",0.69500,0,0
"002",M,USD,EUR,"79908770",0.69500,0,0
"002",M,USD,EUR,"79909077",0.68150,0,0
"002",M,USD,EUR,"79909488",0.73370,0,0
"002",M,USD,EUR,"79909592",0.74090,0,0
"002",M,USD,EUR,"79909673",0.74090,0,0
"002",M,USD,EUR,"79909675",0.73370,0,0
"002",M,USD,EUR,"79909676",0.73660,0,0
"002",M,USD,EUR,"79909677",0.73660,0,0
"002",M,USD,EUR,"79918985",0.73660,0,0
"002",M,USD,EUR,"79918990",0.73370,0,0
"002",M,USD,EUR,"79919073",0.68150,0,0
"002",M,USD,EUR,"79919074",0.68150,0,0
"002",M,USD,EUR,"79919172",0.68150,0,0
"002",M,USD,EUR,"79928774",0.69500,0,0
"002",M,USD,EUR,"79928887",0.68150,0,0
"002",M,USD,EUR,"79928888",0.68150,0,0
"002",M,USD,EUR,"79928970",0.69500,0,0
"002",M,USD,EUR,"79928971",0.69500,0,0
"002",M,USD,EUR,"79929183",0.74090,0,0
"002",M,USD,EUR,"79929269",0.73370,0,0
"002",M,USD,EUR,"79929270",0.73370,0,0
"002",M,USD,EUR,"79929482",0.73660,0,0
"002",M,USD,EUR,"79898771",0.76130,0,0
"002",M,USD,EUR,"79899585",0.73600,0,0
"002",M,USD,EUR,"79899689",0.73600,0,0
"002",M,USD,EUR,"79909484",0.73600,0,0
"002",M,USD,EUR,"79909490",0.74370,0,0
"002",M,USD,EUR,"79918982",0.74370,0,0
"002",M,USD,EUR,"79919271",0.63680,0,0
"002",M,USD,EUR,"79919272",0.63680,0,0
"002",M,USD,EUR,"79919273",0.63680,0,0
"002",M,USD,EUR,"79919292",0.63680,0,0
"002",M,USD,EUR,"79919293",0.63680,0,0
"002",M,USD,EUR,"79919389",0.63460,0,0
"002",M,USD,EUR,"79919471",0.63460,0,0
"002",M,USD,EUR,"79919473",0.63460,0,0
"002",M,USD,EUR,"79919474",0.63460,0,0
"002",M,USD,EUR,"79919476",0.63460,0,0
"002",M,USD,EUR,"79919591",0.63680,0,0
"002",M,USD,EUR,"79929181",0.74370,0,0
"002",M,USD,EUR,"79929395",0.74370,0,0
"002",M,USD,EUR,"79929396",0.74370,0,0
"002",M,USD,EUR,"79929492",0.73600,0,0
"002",M,USD,EUR,"79929493",0.73600,0,0
"002",M,USD,EUR,"79929689",0.76130,0,0
"002",M,USD,EUR,"79929693",0.76130,0,0
"002",M,USD,EUR,"79929783",0.76130,0,0
"002",M,USD,EUR,"79929894",0.76130,0,0
"002",M,USD,EUR,"79898883",0.73240,0,0
"002",M,USD,EUR,"79898981",0.71560,0,0
"002",M,USD,EUR,"79899688",0.73450,0,0
"002",M,USD,EUR,"79899690",0.73240,0,0
"002",M,USD,EUR,"79899782",0.73050,0,0
"002",M,USD,EUR,"79899793",0.73050,0,0
"002",M,USD,EUR,"79909284",0.71560,0,0
"002",M,USD,EUR,"79909293",0.71560,0,0
"002",M,USD,EUR,"79909294",0.71560,0,0
"002",M,USD,EUR,"79909487",0.73450,0,0
"002",M,USD,EUR,"79909887",0.74240,0,0
"002",M,USD,EUR,"79909888",0.74240,0,0
"002",M,USD,EUR,"79918775",0.71560,0,0
"002",M,USD,EUR,"79919289",0.63710,0,0
"002",M,USD,EUR,"79919290",0.63710,0,0
"002",M,USD,EUR,"79919372",0.63710,0,0
"002",M,USD,EUR,"79919597",0.63710,0,0
"002",M,USD,EUR,"79929179",0.74240,0,0
"002",M,USD,EUR,"79929180",0.74240,0,0
"002",M,USD,EUR,"79929186",0.73050,0,0
"002",M,USD,EUR,"79929187",0.73050,0,0
"002",M,USD,EUR,"79929268",0.73240,0,0
"002",M,USD,EUR,"79929288",0.73240,0,0
"002",M,USD,EUR,"79929293",0.73450,0,0
"002",M,USD,EUR,"79929294",0.73450,0,0
"002",M,USD,EUR,"79929295",0.73450,0,0
"002",M,USD,EUR,"79899073",0.74140,0,0
"002",M,USD,EUR,"79899580",0.74130,0,0
"002",M,USD,EUR,"79899593",0.74140,0,0
"002",M,USD,EUR,"79899691",0.73420,0,0
"002",M,USD,EUR,"79899692",0.73420,0,0
"002",M,USD,EUR,"79899771",0.73400,0,0
"002",M,USD,EUR,"79899890",0.69770,0,0
"002",M,USD,EUR,"79908768",0.69770,0,0
"002",M,USD,EUR,"79908779",0.69770,0,0
"002",M,USD,EUR,"79909091",0.69770,0,0
"002",M,USD,EUR,"79909092",0.70000,0,0
"002",M,USD,EUR,"79909093",0.70000,0,0
"002",M,USD,EUR,"79909177",0.70000,0,0
"002",M,USD,EUR,"79909481",0.74130,0,0
"002",M,USD,EUR,"79909482",0.74130,0,0
"002",M,USD,EUR,"79909486",0.73420,0,0
"002",M,USD,EUR,"79909889",0.73420,0,0
"002",M,USD,EUR,"79928979",0.70000,0,0
"002",M,USD,EUR,"79929096",0.73400,0,0
